company_name,ticker,cik,filing_type,filing_date,filing_url,Checked,snippet_text_short,KPI_CURRENT_VALUE,KPI_TREND,KPI_HISTORICAL_COMPARISON,TARGET_OUTLOOK,NPS_GOAL_REACHED,METHODOLOGY_DEFINITION,QUALITATIVE_ONLY,has_numeric_nps,nps_value_fix,nps_competition_industry,nps_value_over,nps_value_below,nps_goal_value,nps_goal_change
"Compass, Inc.",COMP,1563190.0,DRSLTR,2021-02-12,https://sec.gov/Archives/edgar/data/0001563190/000095012321002017/filename1.htm,x,"2. 4. Please clarify the method by which you calculate your net promoter score and explain how management uses this score to monitor or manage your business. Disclose any underlying assumptions and limitations in how the score is calculated or used. In response to the Staffs comment, the Company has revised its disclosure on pages 1, 49, 61 and 89 of Draft No.",0,0,0,0,0,1,0,0,,,,,,
"Accolade, Inc.",ACCD,1481646.0,DEF 14A,2024-06-21,https://sec.gov/Archives/edgar/data/0001481646/000148164624000029/accd-20240621.htm,x,"Our compensation committee believes these performance goals reflect commonly recognized measures of financial and operating performance within our industry and are key drivers of sustained value creation for our stockholders. The performance goals and weightings, in addition to our actual performance, are set forth in the table below. Revenue, New Bookings (ARR), and Net Promoter Score have target levels of achievement as well as a pay-and-performance curve around target with threshold and maximum levels. Given the importance of achieving our Adjusted EBITDA target, this metric's achievement evaluation was structured as all-or-nothing. [TABLE] Performance Goal: Net Promoter Score (4) | Weighting: 25% | Threshold: 48 | Target: 60 | Maximum: 100 | Actual Performance: 71 [/TABLE].",0,0,0,1,1,0,0,1,,,,,48.0,
SPRING VALLEY ACQUISITION CORP.,"SMR, SMR-WT",1822966.0,CORRESP,2021-06-22,https://sec.gov/Archives/edgar/data/0001822966/000110465921083887/filename1.htm,x,"Response: The Company acknowledges the Staff’s comment and has revised the disclosure on page 172 of the Revised Registration Statement in accordance with the Staff’s comment. 17. Staff’s comment: We note your statement on page 166: “In a recent customer survey, for example, we received a best-in-class Net Promoter Score over 50% higher than the vertical farming segment average.” Please revise page 166 to explain the Net Promoter Score metric, including the basis for the vertical farming segment average Net Promoter Score. Response: The Company acknowledges the Staff’s comment and has revised the disclosure on page 173 of the Revised Registration Statement in accordance with the Staff’s comment. 5 18.",1,0,0,0,0,0,0,1,,,50.0,,,
SPRING VALLEY ACQUISITION CORP.,"SMR, SMR-WT",1822966.0,EX-99.3,2021-03-26,https://sec.gov/Archives/edgar/data/0001822966/000110465921042008/tm2110955d1_ex99-3.htm,x,"020 AeroFarms locally grown produce wins on quality, flavor, taste and texture with products that are priced competitively with organic players and other local farmers Along with baby leafy greens, AeroFarms sells products in high growth segments, such as microgreens AeroFarms sells its products under its Dream Greens brand and will be introducing a unified rebrand in 2021 1 Nielsen W/E 12/5/20 latest 52 weeks (collection of 5 leading grocery retailers in New York Metropolitan Area), combined with Nielsen FY2020 latest 52 weeks (1 leading grocery retailer in the New York Metropolitan Area); 2 Net Promoter Score is a key indicator of customer satisfaction, measured through third-party testing conducted by Qualtrics 25 In 2020 AeroFarms products performed on average 50% better than the average velocity per SKU of the indoor farming industry¹ AeroFarms received a best-in-class Net Promoter Score of 55; 57% higher than the indoor vertical farming segment average2 Top Tastemakers Applaud AeroFarms Products “An exquisite culinary experience“ Edmund LaMacchia VP of Procurement – Perishables, Whole Foods (former) “This is what I love about AeroFarms – that it's technology that's allowing people to farm bett",1,0,0,0,0,1,0,1,55.0,,,,,
VODAFONE GROUP PUBLIC LTD CO,"VOD, VODPF",839923.0,6-K,2021-10-01,https://sec.gov/Archives/edgar/data/0000839923/000110465921121765/tm2129021d1_6k.htm,x,"In addition, a live video Q&A webcast will commence at 2.00pm BST on 29 September 2021, with an on-demand recording available shortly afterwards. Key highlights from the event: 1. Deep & trusted customer relationships ⫶ Following a series of initiatives conducted over the last 3 years, Vodafone has improved its net promoter score to be the #1 or #2 operator in 13 of 16 markets. This has contributed to systematic reductions in mobile contract churn and increasing fixed connectivity customers. The next phase of improving loyalty with consumers will be achieved through our multi-product connectivity strategy, 'Digital First' consumer engagement platforms and complementary digital services, all underpinned by our purpose-led brand.",0,1,0,0,0,0,0,0,,,,,,
AGCO CORP /DE,AGCO,880266.0,EX-99.2,2024-12-19,https://sec.gov/Archives/edgar/data/0000880266/000088026624000066/ex-992.htm,,"s with Increased Focus on Sustainability AGCO is Well-Positioned to Address SECULAR TRENDS and BETTER SERVE FARMERS World Crop Use Will Fuel Precision Ag and Machinery Growth(1) 0.0B 0.5B 1.0B 1.5B 2.0B 2.5B 3.0B 3.5B 4.0B Bi lli on s of M et ric T on s Crop Year World Corn + Soybeans + Wheat Use 7 AG MACHINERY AG TECHNOLOGY Brands & Value Propositions Leaders Drive Fendt Straightforward Dependable Accessible Your Working Machine Industry leader for mixed fleet precision AG through OEM and Retrofit Winning Outcomes Strategy Fundamentals Leader in Precision Ag FarmerCore Operational Efficiency Net Promoter Score Employee Engagement RONA Growth Farmer Focused Solutions To Sustainably Feed Our World 8 OUR TARGETS DEMONSTRATING PROGRESS 1) Compared to 2023 product offering 2) From a 2022 baseline, aligned with 1.5C trajectory, 90% is the 2050 target 3) Water and waste targets will be extended out to 2030 once data quality improved 4) 2025 baseline 5) New recordable incident target being developed with 2030 timeline Sustainability Objectives Innovate For A Triple-win Power The Future Of Ag Advance A Responsible Product Life Cycle Thrive Together Employees, Dealers And Farmers Total recordable incidents b",0,0,0,0,0,0,0,0,,,,,,
Aldel Financial Inc.,"HGTY, HGTPW",1840776.0,DEFA14A,2021-11-17,https://sec.gov/Archives/edgar/data/0001840776/000110465921140343/tm2133200d1_defa14a.htm,,"A passion story. A growth story. 6 A highly differentiated membership - based growth story 1 NPS is defined as “Net Promoter Score”, a leading measure of customer experience and satisfaction with companies and brands Large & underpenetrated market opportunity Tapping underserved passion - led automotive enthusiast market Unique membership ecosystem for car lovers Exceptional brand loyalty; multiple points of monetization Sufficient capital to fund growth priorities Continued double - digit growth and further margin expansion; potential growth beyond base plan Proven & resilient financial profile Track record of revenue & earnings growth 01 Omni channel distribution strategy Established p",0,0,0,0,0,0,0,0,,,,,,
ENCORE CAPITAL GROUP INC,ECPG,1084961.0,DEF 14A,2022-04-29,https://sec.gov/Archives/edgar/data/0001084961/000108496122000045/ecpg-20220429xdef14a.htm,x,"bility against our goals can be found below: 18 Table of Contents ESG Metrics Impact Executive Compensation As part of our commitment to ESG, approximately 40% of the funding of the 2021 annual bonus plan for our executive officers is based on the achievement of certain ESG-related metrics, which are detailed below: [TABLE] ESG Key Pillar: We Support and Value Our People | ESG-Related Compensation Goal: To promote a culture of respect and inclusion and to foster a positive work environment, 15% of the funding of the executive bonus plan is based on metrics related to inclusion and an employee net promoter score. [/TABLE]. 2022 ESG Priorities In 2022, our efforts continue to underscore the importance of ESG at Encore for years to come. Our five key pillars guide our decision making and help communicate to internal and external stakeholders where we hope to make the most impact.",0,0,0,0,0,0,0,0,,,,,,
Aldel Financial Inc.,"HGTY, HGTPW",1840776.0,EX-99.1,2021-08-18,https://sec.gov/Archives/edgar/data/0001840776/000110465921107195/tm2125307d1_ex99-1.htm,x,"ADF) (“Aldel”), a special purpose acquisition company, today announced that they have entered into a definitive business combination agreement. Upon the closing of the transaction, Aldel will be renamed Hagerty, Inc., and become publicly traded, with its common stock expected to be listed on the New York Stock Exchange under the ticker HGTY. Passion Fueled Growth Targeting Expansive Automotive Enthusiast Market Hagerty is a leading specialty insurance provider for classic and enthusiast vehicles -- with more than 2 million vehicles insured globally, an industry-leading 84 Net Promoter Score (NPS) and partnerships with nine of the top 10 U.S. automotive insurers. At Hagerty, everything begins and ends with the love of the automobile – a passion shared with its more than 1.8 million members that fuels the company’s distinguished membership model and positions Hagerty to optimize growth in the estimated 43+ million vehicle automotive enthusiast market.",0,0,0,0,0,0,0,0,,,,,,
Aldel Financial Inc.,"HGTY, HGTPW",1840776.0,425,2021-08-19,https://sec.gov/Archives/edgar/data/0001840776/000110465921107472/tm2125463d1_425.htm,x,"Although Hagerty is much larger than any of its direct competitors, it has a relatively small share of a large market – both in terms of vehicles insured and available premium to be written of approximately 4%. The Hagerty family founded the business three decades ago and will maintain its strong leadership position and continue to grow the Company. Their unique membership model has led to a loyal and sticky customer base, as measured by a high Net Promoter Score of 84 versus the auto insurance industry average of about 39; their customer retention rate of 90% and low average loss ratios of 41% over the past three years. They have multiple distribution channels, which gives them a competitive advantage in customer acquisition. And a real orientation toward using data in a smart way.",1,0,0,0,0,0,0,1,84.0,,,,,
XP Inc.,XP,1787425.0,EX-99.1,2023-12-08,https://sec.gov/Archives/edgar/data/0001787425/000095010323017317/dp203814_ex9901.htm,x,"cquisition Channel Diversification Specialized Advisors Superior Functionality Smarter Curated Advice Better Software & Apps Highest Quality Support 2009 2023 Evolving Beyond the Market to Differentiate with Higher Quality Services End - to - End Genius XP – Proprietary software to personalize asset allocation & risk management Portfolio Optimization Financial Planning Training & Incentives XP’s 3 rd Wave Empowering XP Advisors to Provide Enhanced Quality & Experience in the Market Match client’s personal objectives and investment portfolio Evaluate and training on Service + individual client NPS results XP Awarded Best Financial Advisory Firm 5 Years in a Row¹ Genius XP 10 Note: 1 – Annual survey published by DataFolha . 11 3Q’19 @IPO 3Q’23 Current 3.1 x Client Assets 6.7 % 11.3 % + 460 bps Market Share 1 2.9 x Active Clients XP Invested to Scale & Expand Significantly Since the IPO R$ 350 Billion R$ 1,080 Billion 1.5 Million 4.4 Million Note: 1 – Investments for Individuals Market Share, according to Anbima (self - regulated capital markets entity in Brazil) data. 12 XP is Leading the Evolution of the Advisory Profession in Brazil Financial Consultants Wealth Managers Retail Financi",0,0,0,0,0,0,0,0,,,,,,
PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,TLK,1001807.0,6-K,2023-05-02,https://sec.gov/Archives/edgar/data/0001001807/000100180723000021/tmb-20230502x6k.htm,x,"Impact Customers are Telkom's priority, and we always want to provide them with the best experience. Excellent service can improve customer experience and growth which will then have a positive impact on financial and operational performance. Commitment and Target ● TelkomGroup's Net Promoter Score (NPS) for 2022 is targeted at a minimum of 51, with a target in 1 st Semester was 50 and a target for 2 nd Semester is 51. The target score grows by 2 points compared to the 2 nd Semester achievement in the previous year of 49. NPS calculation refers to the standard calculation formula NPS globally, and measurement carried out by third-party surveyor partners to maintain independence and objectivity.",0,0,0,1,0,1,0,1,,,,,51.0,2.0
AZUL SA,AZUL,1432364.0,6-K,2025-05-14,https://sec.gov/Archives/edgar/data/0001432364/000129281425002077/azulpr1q25_6k.htm,,"§ Unit revenue (RASK) remained strong at R$42.14 cents in 1Q25, even with capacity growing 15.6% year-over-year. Another contributing factor to our healthy revenues and margins is the growth in our business units, which in 1Q25 accounted for 23% of RASK and 35% of EBITDA, at more than R$480 million. § Azul made significant improvement in the overall travel experience, which translated into a Net Promoter Score (NPS) recovery of more than 30 points in March 2025 compared to December 2024. § 1Q25 EBITDA reached R$1,385.8, down 2.1% year-over-year, mainly impacted by the depreciation of the Brazilian real against the US dollar, higher fuel prices, and inflation. EBITDA margin in 1Q25 was 25.7%, 4.6 percentage points lower than in 1Q24.",1,1,1,0,0,0,0,1,,,30.0,,,
"CS Disco, Inc.",LAW,1625641.0,DRSLTR,2021-06-11,https://sec.gov/Archives/edgar/data/0001625641/000095012321007810/filename1.htm,,"The Company has revised the disclosure on page 65 of the Draft Registration Statement to provide additional detail on its results of operations in 2020, but the Company is unable to isolate and quantify the direct impact from COVID-19. Cooley LLP 500 Boylston Street, 14 th Floor Boston, MA 02116-3736 t: (617) 937-2300 f: (617) 937-2400 cooley.com United States Securities and Exchange Commission June 11, 2021 Page Three Business, page 82 4. Please clarify the method by which you calculate your net promoter score and explain how management uses this score to monitor or manage your business. Disclose any underlying assumptions and limitations in how the score is calculated or used. The Company calculates Net Promoter Score ( NPS ) in a manner that it believes is consistent with how NPS is calculated by other companies.",0,0,0,0,0,1,0,0,,,,,,
FG New America Acquisition Corp.,"OPFI, OPFI-WT",1818502.0,EX-99.2,2021-02-10,https://sec.gov/Archives/edgar/data/0001818502/000110465921017063/tm216066d1_ex99-2.htm,,"ile content are not incorporated into this Presentation . Any references to URLs for the websites are intended to be inactive textual references only . 2 Table of Contents Intro To OppFi 5 Key Investment Highlights 16 Delivery Model & Product 26 Financial Performance 34 Benchmarking & Valuation 38 Appendix 41 3 FG New America Acquisition Corp x FinTech with Exponential Growth x Massive Underserved Addressable Market x Proprietary AI Underwriting Technology x Strong Senior Management Team x Industry Consolidation Opportunity x Large Free Cash Flow Generation x Devotion to Customer Service with NPS of 84 OppFi: Investment Thesis Joe Moglia , Chairman • Retired Chairman and CEO of TD Ameritrade and former executive at Merrill Lynch • Grew TD Ameritrade from $700 million market cap to $20 billion+ market cap and sold to Charles Schwab • Chair of Athletics and Former Head Football Coach at Coastal Carolina University • Co - Founder of Fundamental Global (FG) Larry Swets , CEO • Founded Itasca Financial and sold to Kingsway Financial Services, where he became CEO • SPAC Merchant Banker with public company executive and board experience including GreenFirst Forest Products, FG Financial Grou",1,1,0,0,0,0,0,1,84.0,,,,,
CHW Acquisition Corp,"PET, PETWW",1842356.0,EX-99.2,2022-02-03,https://sec.gov/Archives/edgar/data/0001842356/000110465922011175/tm225162d1_ex99-2.htm,,"Pet parents can find 12 different service offerings through our platform. Third, both sides of the marketplace, the pet parents and the caregivers, love Wag. Our Net Promoter Score averages between 45 to 55 for caregivers and 65 to 70 for pet parents. ViaVid has made considerable efforts to provide an accurate transcription. There may be material errors, omissions, or inaccuracies in the reporting of the substance of the conference call.",1,0,0,0,0,0,0,1,,,45.0,,,
FG New America Acquisition Corp.,"OPFI, OPFI-WT",1818502.0,EX-99.2,2021-05-13,https://sec.gov/Archives/edgar/data/0001818502/000110465921065541/tm2116248d1_ex99-2.htm,,"~30% of this target population (~53mm) qualified to receive $2,00 0 in payroll deduction lending Implies Current Penetration of <1% ~$21bn 2 Nonprime Credit Cards ~$32bn 4 Payroll Deduction Lending ~$27bn 3 Installment Loans Represents recent and planned product expansions in adjacent markets ~150 million U.S. Adults with Less Than $1,000 in Savings 1 11 11 Robust Customer Demand More than 2.5 million applications annually, of which 80% are mobile generated Leading Proprietary Credit & Technology Platform Real - time AI drives automation for ~75% of decisions Exceptional Customer Satisfaction Net Promoter Score of 85; 10,000+ online customer reviews with 4.9 / 5.0 average rating Key Company Highlights Consistent Growth 100%+ 5 year Revenue CAGR 1 GAAP Profitability since 2015 Projected Adj. Net Income of ~$66mm in 2021 and ~$88mm in 2022 2 Significant Scale Facilitated $2.3+ billion in issuance covering 1.5+ million loans 1. 2015 – 2020 2.",1,1,1,0,0,0,0,1,85.0,,,,,
QUEST DIAGNOSTICS INC,DGX,1022079.0,EX-99.4,2021-03-11,https://sec.gov/Archives/edgar/data/0001022079/000094787121000317/ss194018_ex9904.htm,,"Retail E - commerce Sales as a Percent of Total Quarterly Retail Sales: 1st Quarter 2011 – 2nd Quarter 2020,” U.S. Census Bureau, August 2020 82% love/like telehealth 80% are likely to continue using telehealth post CV - 19 Source: Harris Poll COVID Tracker BASE: GENERAL PUBLIC (n=2081) W8 2020 (04 - 27 - 2020) Q3 USED TELEHEALTH: Overall, how do you feel about using telehealth services? Quest is ahead on brand advocacy with an NPS of 31 1 out of 4 people throughout the US mention Quest when asked about lab test providers Quest is the leader Unaided awareness of lab test providers Brand advocacy: Net promoter score 26% 16% 3% 3% 2% 2% 2% Quest Diagnostics Other Ntl Lab Provider Hospital Doctor's Office Retail Pharmacy Urgent Care Large IDN Base All respondents including those termed on awareness and consideration (1,946). C0 Please type below all of the lab test providers you can think of. Please think about the different places you can go to receive lab tests, such as common blood work (cholesterol panel, blood type, d",1,0,0,0,0,1,0,1,31.0,,,,,
QUEST DIAGNOSTICS INC,DGX,1022079.0,EX-99.4,2023-03-17,https://sec.gov/Archives/edgar/data/0001022079/000094787123000333/ss1867887_ex9904.htm,,"increases capacity and improves productivity INVIGORATE PRODUTCIVITY SAVINGS $ Millions $1,645 $240 $210 $225 $230 $2,550 '11-'18 2019 2020 2021 2022 Total Excludes the benefit of COVID 2023 INVESTOR DAY Confidential / internal Use Only 5 Key productivity levers support savings, while delivering an excellent customer experience Patient Service Patients served per FTE per day 16% Logistics Non-productive stops 31% Lab Operations Requisitions per day per FTE 16% National Customer Service Contacts per 100 requisitions 40% All improvements from 2018 Patient Experience Metrics Net Promoter Score (NPS) 73 Healthcare industry average NPS score 58 Customer Satisfaction (CSAT) 91% 2023 INVESTOR DAY Confidential / internal Use Only 6 Invigorate will continue to deliver operational efficiency while improving the customer experience through four major initiatives ~3% Annual Productivity Savings Leverage automation and AI Reduce denials and write-offs Select and retain talent Enhance the digital experience 2023 INVESTOR DAY Confidential / internal Use Only 7 Invigorate will continue to deliver operational efficiency while improving the customer experience through four major initiatives ~3% Annual",1,0,0,0,0,0,0,1,73.0,58.0,,,,
SPRING VALLEY ACQUISITION CORP.,"SMR, SMR-WT",1822966.0,425,2021-05-24,https://sec.gov/Archives/edgar/data/0001822966/000110465921070899/tm2110955d29_425.htm,,"So a mass market retailer in ShopRite, we announced last week that we're also selling to Walmart, a specialty retailer in Whole Foods. An online retailer Fresh Direct, Amazon Fresh and food service [inaudible 00:12:46] representative everywhere. David Rosenberg: I'll also share that our net promoter score, which is a common metric used in CPG that communicates one's likelihood to recommend to your friends is an industry leading number of 55, average is 35. And our units per store per week are also about 50% higher than the competition. So that's because we're growing great tastes and textures, which isn't surprising.",1,0,0,0,0,0,0,1,55.0,,,,,
